id	date_rel	likes	comments	views	title
aJkdCkVX3VXl3kCh	11 месяцев назад	1014	267	20,6 тыс	Дресс-коды, которые к вам не относятся
aKGjzbE6LiM-DxII	11 месяцев назад	693	101	30,5 тыс	Манипуляция первым впечатлением
aKIj3LE6fxyx47Gd	11 месяцев назад	369	239	28,6 тыс	Как уволить человека
aJkZ6TqOu3f5Jul4	11 месяцев назад	13,7 тыс	2753	741,1 тыс	Этикет на даче у друзей
aJklqi0cxGuz0S68	11 месяцев назад	264	95	7038	Как пережить женскую истерику
aJkixMwcFFjiX9ey	11 месяцев назад	3083	277	109,1 тыс	Где заканчивается откровенность и начинается лицемерие
aI423VH60AALzsJ1	11 месяцев назад	916	96	14,8 тыс	У вас есть то, чем вы не пользуетесь
aI4mu9Hh4W0VcZYZ	11 месяцев назад	857	215	66 тыс	Как долго можно смотреть в глаза? Зрительный контакт и этикет
aI4ift4COW2QU4PU	11 месяцев назад	2397	316	92,6 тыс	Незаметные враги репутации
aITYzBV0I29gDq8r	11 месяцев назад	694	132	36,7 тыс	Этикет на шопинге
aI4wgFlCEHB7fmWZ	11 месяцев назад	506	92	27,3 тыс	Как сообщить плохие новости
aISzWkTD13y-6YP7	11 месяцев назад	1574	216	78,7 тыс	Как самооценка влияет на этикет
aIS3_WmIQEPJkzHP	11 месяцев назад	747	107	17,1 тыс	Фразы, которые лучше не говорить
aISpJRV0I29g3VF0	12 месяцев назад	863	236	33,7 тыс	Как не отравиться в ресторане
aIStE06kUSEAgfwc	12 месяцев назад	1053	449	78,9 тыс	Этикет в жару
aH1uBUqCAA5vw3AJ	12 месяцев назад	1959	239	101,5 тыс	Как правильно не согласиться с чужой точкой зрения
